model,split_seed,candidate_seed,layer_rule,layer,M0_singular,M1_jvp_proxy,M2_margin,M3_gradient,M4_transport,delta_transport_oof_auprc
bbb_vgg19_bn,1002,3,prespecified_prelogit,penultimate,0.2727133399667356,0.30847150457302963,0.9439912538320869,0.9441754967769298,0.9452084265010079,0.001032929724078091
bbb_vgg19_bn,1002,4,nested_selected_nonlogit,block5,0.27124704517924153,0.30716973740738224,0.942394779726272,0.9425573871211668,0.9437772619889262,0.0012198748677594295
bbb_vgg19_bn,1002,4,prespecified_prelogit,penultimate,0.27322526891548915,0.30933173516418133,0.9441382044058009,0.9442939434654322,0.9453668230270695,0.0010728795616373743
bbb_vgg19_bn,1003,0,nested_selected_nonlogit,block5,0.2760170097456888,0.31655488393572406,0.9474747808985611,0.9476124925711877,0.9495380917833673,0.0019255992121796073
bbb_vgg19_bn,1003,0,prespecified_prelogit,penultimate,0.27752795966417587,0.3170325789448163,0.9465586291240009,0.946685372905228,0.9489303430220493,0.002244970116821232
bbb_vgg19_bn,1003,1,nested_selected_nonlogit,block5,0.2754369974972151,0.3182382354982584,0.9489271632904153,0.9490375723990794,0.950904211191899,0.0018666387928196748
bbb_vgg19_bn,1003,1,prespecified_prelogit,penultimate,0.27904338003017637,0.3189180956908139,0.9488924034901404,0.9490291513089212,0.9514673275034111,0.0024381761944899383
bbb_vgg19_bn,1003,2,nested_selected_nonlogit,block5,0.2755226319431059,0.31519163758639185,0.9485621092387623,0.948640207739708,0.9504781374595774,0.0018379297198694022
bbb_vgg19_bn,1003,2,prespecified_prelogit,penultimate,0.27892862163050175,0.3177020597779698,0.9486698630142301,0.9488401954733139,0.9506221018667087,0.0017819063933948165
bbb_vgg19_bn,1003,3,nested_selected_nonlogit,block5,0.2751447167328509,0.3155615820308812,0.9481035253757781,0.9481978850437132,0.9498714156010566,0.0016735305573434278
bbb_vgg19_bn,1003,3,prespecified_prelogit,penultimate,0.2799107946598014,0.31963690181427074,0.9490779168975676,0.9491898096631786,0.9522183736565943,0.003028563993415778
bbb_vgg19_bn,1003,4,nested_selected_nonlogit,block5,0.2751743776495999,0.3144962879197678,0.9476003541718494,0.9477314659390308,0.9495193997478978,0.0017879338088669927
bbb_vgg19_bn,1003,4,prespecified_prelogit,penultimate,0.27943625867279454,0.31873834499007564,0.9499409174787676,0.9500128300979245,0.9522246695995409,0.0022118395016164083
